dataset  , task          , method          , lambda_prune, lambda_div, prune_threshold, corr_threshold, full_metric        , full_r2           , full_f1           , full_auc          , stage1_size, stage1_metric      , stage1_r2         , stage1_f1       , stage1_auc        , final_size, final_metric       , final_r2          , final_f1          , final_auc
slice    , regression    , A_full_framework,          0.7,        0.3,            0.01,           0.95,  8.10980987786108  , 0.8701401324891747,                   ,                   ,          60,  6.996768998212577 , 0.9033395793159525,                 ,                   ,         23,  5.556439263704814 , 0.9390397481479833,                   ,  
slice    , regression    , B_shap_then_corr,          0.0,        0.0,                ,           0.95,  8.10980987786108  , 0.8701401324891747,                   ,                   ,          60,  6.996768998212577 , 0.9033395793159525,                 ,                   ,         56,  6.361480245373904 , 0.920095732369477 ,                   ,  
slice    , regression    , C_corr_then_shap,          0.0,        0.0,                ,           0.95,  8.10980987786108  , 0.8701401324891747,                   ,                   ,         188,                    ,                   ,                 ,                   ,         56,  6.386338588895334 , 0.9194700388199694,                   ,  
3droad   , regression    , A_full_framework,          1.0,        0.5,            0.01,           0.9 , 13.025898576125599 , 0.5010499681324736,                   ,                   ,          60, 11.565464959174722 , 0.606660225590312 ,                 ,                   ,         19, 10.717817925715499 , 0.6622040641821205,                   ,  
3droad   , regression    , B_shap_then_corr,          0.0,        0.0,                ,           0.9 , 13.025898576125599 , 0.5010499681324736,                   ,                   ,          60, 11.565464959174722 , 0.606660225590312 ,                 ,                   ,         60, 11.565464959174722 , 0.606660225590312 ,                   ,  
3droad   , regression    , C_corr_then_shap,          0.0,        0.0,                ,           0.9 , 13.025898576125599 , 0.5010499681324736,                   ,                   ,         183,                    ,                   ,                 ,                   ,         54, 11.936575300481621 , 0.5810124153093716,                   ,  
kin40k   , regression    , A_full_framework,          1.0,        0.3,            0.01,           0.93,  0.8755101331188156, 0.2385221766534973,                   ,                   ,          60,  0.8657456815982906, 0.2554127868427396,                 ,                   ,         25,  0.7952471092145585, 0.3717404425051548,                   ,  
kin40k   , regression    , B_shap_then_corr,          0.0,        0.0,                ,           0.93,  0.8755101331188156, 0.2385221766534973,                   ,                   ,          60,  0.8657456815982906, 0.2554127868427396,                 ,                   ,         60,  0.8657456815982906, 0.2554127868427396,                   ,  
kin40k   , regression    , C_corr_then_shap,          0.0,        0.0,                ,           0.93,  0.8755101331188156, 0.2385221766534973,                   ,                   ,         200,                    ,                   ,                 ,                   ,         60,  0.8657456815982906, 0.2554127868427396,                   ,  
covertype, classification, A_full_framework,          0.5,        0.5,            0.01,           0.92,  0.7451378610030636,                   , 0.7446855394197238, 0.7463606420761538,          60,  0.72963495889778  ,                   , 0.72963495889778, 0.7323151721185792,         16,  0.7778991017080537,                   , 0.7778991017080537, 0.7803376261844817
covertype, classification, B_shap_then_corr,          0.0,        0.0,                ,           0.92,  0.7451378610030636,                   , 0.7446855394197238, 0.7463606420761538,          60,  0.72963495889778  ,                   , 0.72963495889778, 0.7323151721185792,         51,  0.7458263054628068,                   , 0.745046979062592 , 0.7473635234946879
covertype, classification, C_corr_then_shap,          0.0,        0.0,                ,           0.92,  0.7451378610030636,                   , 0.7446855394197238, 0.7463606420761538,         160,                    ,                   ,                 ,                   ,         48,  0.7488898833086641,                   , 0.7484988076433183, 0.7500524524965098
slice,regression,A_full_framework,0.7,0.3,0.01,0.93,8.702789860459246,0.8504554453677566,,,60,6.477000777467008,0.9171673591019125,,,25,5.829920402342842,0.9328912947325435,,
slice,regression,B_shap_then_corr,0.0,0.0,,0.93,8.702789860459246,0.8504554453677566,,,60,6.477000777467008,0.9171673591019125,,,49,6.1178875536605295,0.9260979321777084,,
slice,regression,C_corr_then_shap,0.0,0.0,,0.93,8.702789860459246,0.8504554453677566,,,178,,,,,53,6.160800596648545,0.9250575452405245,,
3droad,regression,A_full_framework,1.0,0.5,0.01,0.88,13.38076587343263,0.4734936496223974,,,60,12.961564143823695,0.5059663886503646,,,13,10.751304978293295,0.6600899283048232,,
3droad,regression,B_shap_then_corr,0.0,0.0,,0.88,13.38076587343263,0.4734936496223974,,,60,12.961564143823695,0.5059663886503646,,,59,12.297965796373786,0.5552579108852193,,
3droad,regression,C_corr_then_shap,0.0,0.0,,0.88,13.38076587343263,0.4734936496223974,,,172,,,,,51,11.996524016783123,0.5767933086839853,,
kin40k,regression,A_full_framework,1.0,0.3,0.01,0.9,0.8901471383264812,0.21284817643514686,,,60,0.8969814435902755,0.20071470478311004,,,19,0.8145272470081563,0.34090784993077194,,
kin40k,regression,B_shap_then_corr,0.0,0.0,,0.9,0.8901471383264812,0.21284817643514686,,,60,0.8969814435902755,0.20071470478311004,,,60,0.8969814435902755,0.20071470478311004,,
kin40k,regression,C_corr_then_shap,0.0,0.0,,0.9,0.8901471383264812,0.21284817643514686,,,198,,,,,59,0.8959021388448224,0.20263704867836863,,
covertype,classification,A_full_framework,0.5,0.5,0.01,0.92,0.7505765722350349,,0.7501781156582776,0.7517519732563089,60,0.7387565210512682,,0.7387565210512682,0.7412557279362177,23,0.7772372597821063,,0.7772372597821063,0.778756820897867
covertype,classification,B_shap_then_corr,0.0,0.0,,0.92,0.7505765722350349,,0.7501781156582776,0.7517519732563089,60,0.7387565210512682,,0.7387565210512682,0.7412557279362177,45,0.7568758390416853,,0.7563534912166034,0.7582052845376424
covertype,classification,C_corr_then_shap,0.0,0.0,,0.92,0.7505765722350349,,0.7501781156582776,0.7517519732563089,153,,,,,45,0.7561185501359677,,0.7555535046118629,0.7574897478925745
slice,regression,A_full_framework,0.7,0.3,0.01,0.93,8.183687946335157,0.8677633826736753,,,40,5.876435856801849,0.931816135930359,,,18,6.067605329206476,0.9273077255257753,,
slice,regression,B_shap_then_corr,0.0,0.0,,0.93,8.183687946335157,0.8677633826736753,,,40,5.876435856801849,0.931816135930359,,,37,5.896823139954608,0.9313422108828098,,
slice,regression,C_corr_then_shap,0.0,0.0,,0.93,8.183687946335157,0.8677633826736753,,,187,,,,,56,6.027154971016209,0.92827371689668,,
3droad,regression,A_full_framework,1.0,0.5,0.01,0.88,13.275996194686241,0.48170632539968417,,,40,11.19357991720615,0.6315490516586018,,,16,10.949798738967539,0.647423027992236,,
3droad,regression,B_shap_then_corr,0.0,0.0,,0.88,13.275996194686241,0.48170632539968417,,,40,11.19357991720615,0.6315490516586018,,,39,11.163084256851143,0.6335539239577974,,
3droad,regression,C_corr_then_shap,0.0,0.0,,0.88,13.275996194686241,0.48170632539968417,,,167,,,,,50,11.732429999546323,0.5952213351663127,,
kin40k,regression,A_full_framework,1.0,0.3,0.01,0.9,0.8790561340160623,0.23234139328012338,,,40,0.8680325647488574,0.25147390974358486,,,13,0.7612185687687198,0.42435643610310536,,
kin40k,regression,B_shap_then_corr,0.0,0.0,,0.9,0.8790561340160623,0.23234139328012338,,,40,0.8680325647488574,0.25147390974358486,,,40,0.8680325647488574,0.25147390974358486,,
kin40k,regression,C_corr_then_shap,0.0,0.0,,0.9,0.8790561340160623,0.23234139328012338,,,199,,,,,59,0.8902677153107807,0.2126349109708754,,
covertype,classification,A_full_framework,0.5,0.5,0.01,0.92,0.7490447833121063,,0.7487774977939967,0.7500491677872942,40,0.7419440736936793,,0.7419440736936793,0.7438325440801308,14,0.7452458458608222,,0.7452458458608222,0.7477343719668053
covertype,classification,B_shap_then_corr,0.0,0.0,,0.92,0.7490447833121063,,0.7487774977939967,0.7500491677872942,40,0.7419440736936793,,0.7419440736936793,0.7438325440801308,35,0.74790884995353,,0.7474053640537832,0.7491936530900595
covertype,classification,C_corr_then_shap,0.0,0.0,,0.92,0.7490447833121063,,0.7487774977939967,0.7500491677872942,170,,,,,51,0.7583732057416268,,0.7581657675389293,0.7593072235621359
slice,regression,A_full_framework,0.7,0.5,0.01,0.93,8.80175612881888,0.8470349291366674,,,40,6.899006533635384,0.9060218866749538,,,11,5.593396989306688,0.9382261174320896,,
slice,regression,B_shap_then_corr,0.0,0.0,,0.93,8.80175612881888,0.8470349291366674,,,40,6.899006533635384,0.9060218866749538,,,34,6.133911789421232,0.9257102901907771,,
slice,regression,C_corr_then_shap,0.0,0.0,,0.93,8.80175612881888,0.8470349291366674,,,177,,,,,53,6.262852863112358,0.9225541720740885,,
3droad,regression,A_full_framework,1.0,0.5,0.01,0.88,13.473312209085762,0.46618543748683994,,,40,11.442323479971227,0.6149916817145871,,,20,10.947111238074935,0.6475960785965229,,
3droad,regression,B_shap_then_corr,0.0,0.0,,0.88,13.473312209085762,0.46618543748683994,,,40,11.442323479971227,0.6149916817145871,,,40,11.442323479971227,0.6149916817145871,,
3droad,regression,C_corr_then_shap,0.0,0.0,,0.88,13.473312209085762,0.46618543748683994,,,169,,,,,50,11.841728112358862,0.5876444531366725,,
kin40k,regression,A_full_framework,1.0,0.3,0.01,0.9,0.8708480730843684,0.2466102689206433,,,40,0.8745572417014298,0.24017883552259378,,,14,0.779312159383085,0.39666598498895933,,
kin40k,regression,B_shap_then_corr,0.0,0.0,,0.9,0.8708480730843684,0.2466102689206433,,,40,0.8745572417014298,0.24017883552259378,,,40,0.8745572417014298,0.24017883552259378,,
kin40k,regression,C_corr_then_shap,0.0,0.0,,0.9,0.8708480730843684,0.2466102689206433,,,198,,,,,59,0.8921524273097637,0.20929765143441503,,
covertype,classification,A_full_framework,0.5,0.5,0.01,0.92,0.7467901277064473,,0.7462799460726046,0.7480789012691422,40,0.7209635977545301,,0.7209635977545301,0.7241001072569895,14,0.75678262508227,,0.75678262508227,0.7607020992500125
covertype,classification,B_shap_then_corr,0.0,0.0,,0.92,0.7467901277064473,,0.7462799460726046,0.7480789012691422,40,0.7209635977545301,,0.7209635977545301,0.7241001072569895,28,0.7422291831606486,,0.7404183594339075,0.7444467331297611
covertype,classification,C_corr_then_shap,0.0,0.0,,0.92,0.7467901277064473,,0.7462799460726046,0.7480789012691422,161,,,,,48,0.7576159168359092,,0.7557227936994546,0.7599524540326937
slice,regression,A_full_framework,0.7,0.5,0.01,0.92,8.7646998508027,0.8483202144864156,,,40,6.335060279508283,0.9207580575475129,,,3,8.036468731514283,0.8724782898991658,,
slice,regression,B_shap_then_corr,0.0,0.0,,0.92,8.7646998508027,0.8483202144864156,,,40,6.335060279508283,0.9207580575475129,,,24,6.126137165540993,0.9258984926100582,,
slice,regression,C_corr_then_shap,0.0,0.0,,0.92,8.7646998508027,0.8483202144864156,,,157,,,,,47,6.091068437447634,0.9267444441921144,,
3droad,regression,A_full_framework,1.0,0.5,0.01,0.88,13.528679483955528,0.46178910410967444,,,40,11.558544554265453,0.6071308086780491,,,17,10.738074644278,0.6609259862082881,,
3droad,regression,B_shap_then_corr,0.0,0.0,,0.88,13.528679483955528,0.46178910410967444,,,40,11.558544554265453,0.6071308086780491,,,40,11.558544554265453,0.6071308086780491,,
3droad,regression,C_corr_then_shap,0.0,0.0,,0.88,13.528679483955528,0.46178910410967444,,,167,,,,,50,11.857612308179155,0.5865374645026611,,
kin40k,regression,A_full_framework,1.0,0.3,0.01,0.88,0.8824346917333983,0.22642922708214797,,,40,0.9146167750677849,0.16897664177035931,,,20,0.8177275087962905,0.3357185549969858,,
kin40k,regression,B_shap_then_corr,0.0,0.0,,0.88,0.8824346917333983,0.22642922708214797,,,40,0.9146167750677849,0.16897664177035931,,,39,0.8911972621750418,0.21098984437103852,,
kin40k,regression,C_corr_then_shap,0.0,0.0,,0.88,0.8824346917333983,0.22642922708214797,,,199,,,,,59,0.903053722670976,0.18985626020358215,,
covertype,classification,A_full_framework,0.5,0.5,0.01,0.92,0.7422291831606486,,0.7417110523832913,0.7435139492198563,40,0.7377055440616775,,0.7377055440616775,0.7398242450207314,11,0.7706891226761682,,0.7706891226761682,0.7728308515710188
covertype,classification,B_shap_then_corr,0.0,0.0,,0.92,0.7422291831606486,,0.7417110523832913,0.7435139492198563,40,0.7377055440616775,,0.7377055440616775,0.7398242450207314,32,0.7570823723796083,,0.7568417426175785,0.7580649970434594
covertype,classification,C_corr_then_shap,0.0,0.0,,0.92,0.7422291831606486,,0.7417110523832913,0.7435139492198563,152,,,,,45,0.7612130391380675,,0.7609907579934466,0.7621761986147865
slice,regression,A_full_framework,0.7,0.5,0.01,0.92,8.681347215771558,0.8511914577090623,,,60,6.7894596329554044,0.9089826827157069,,,17,6.319450364255805,0.9211480888921226,,
slice,regression,B_shap_then_corr,0.0,0.0,,0.92,8.681347215771558,0.8511914577090623,,,60,6.7894596329554044,0.9089826827157069,,,41,6.765299888835054,0.9096292857777061,,
slice,regression,C_corr_then_shap,0.0,0.0,,0.92,8.681347215771558,0.8511914577090623,,,160,,,,,48,6.339348292225372,0.9206507482437456,,
3droad,regression,A_full_framework,1.0,0.5,0.01,0.88,13.52400669338181,0.4621608347688393,,,60,11.725231731115718,0.5957178753805618,,,25,11.104775109372271,0.6373721077671419,,
3droad,regression,B_shap_then_corr,0.0,0.0,,0.88,13.52400669338181,0.4621608347688393,,,60,11.725231731115718,0.5957178753805618,,,60,11.725231731115718,0.5957178753805618,,
3droad,regression,C_corr_then_shap,0.0,0.0,,0.88,13.52400669338181,0.4621608347688393,,,163,,,,,48,12.136736975510894,0.5668427873880768,,
kin40k,regression,A_full_framework,1.0,0.3,0.01,0.88,0.8790229895454097,0.2323992807289582,,,60,0.8872889276801903,0.2178950581557514,,,31,0.83702156765647,0.3040016608789562,,
kin40k,regression,B_shap_then_corr,0.0,0.0,,0.88,0.8790229895454097,0.2323992807289582,,,60,0.8872889276801903,0.2178950581557514,,,58,0.866875184326394,0.25346865492465653,,
kin40k,regression,C_corr_then_shap,0.0,0.0,,0.88,0.8790229895454097,0.2323992807289582,,,197,,,,,59,0.8716368250620542,0.24524491767802115,,
